job_title,company_name,company_location,time,job_type,work_location,level,experince_years,job_skills,url
"AI Technical Team Lead","Syad Tech","Cairo, Egypt","1 month ago","Full Time","Remote","Experienced","3 - 5 Yrs of Exp","IT/Software Development - Information Technology (IT) - Problem Solving - Algorithms - AI","https://wuzzuf.net/jobs/p/DqtsinG6fo8W-AI-Technical-Team-Lead-Syad-Tech-Cairo-Egypt"
"R&D Senior Specialist Pharmacist","EVA Cosmetics","6th of October, Giza, Egypt","2 months ago","Full Time","On-site","Experienced","1 - 4 Yrs of Exp","R&D/Science - Analyst/Research - Pharmaceutical - Development - Pharmaceutical - Pharmaceutical Research - Research - Cosmetics","https://wuzzuf.net/jobs/p/CXDvKg0ACUk3-RD-Senior-Specialist-Pharmacist-EVA-Cosmetics-Giza-Egypt"
"Remote Roads Inspection Engineer","StreetScan","New Cairo, Cairo, Egypt","27 days ago","Full Time","On-site","Entry Level","0 - 4 Yrs of Exp","Engineering - Construction/Civil/Architecture - Engineering - Other - Engineering Services - Roads - Transportation engineering - Engineering - QA - Highways","https://wuzzuf.net/jobs/p/zy3QOpPOLg2V-Remote-Roads-Inspection-Engineer-StreetScan-Cairo-Egypt"
"Senior Procurement Officer","Zewail City","6th of October, Giza, Egypt","16 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","Logistics/Supply Chain - Purchasing/Procurement - Procurement - Supply Chain - Logistics - Management - Communication - Business Administration - business - Administration","https://wuzzuf.net/jobs/p/yjqxdSSysJ2g-Senior-Procurement-Officer-Zewail-City-Giza-Egypt"
"International Relations Specialist","Exco Egypt","Nasr City, Cairo, Egypt","10 days ago","Full Time","On-site","Experienced","4 - 10 Yrs of Exp","Strategy/Consulting - Communication - Communication skills - media - Public Relations (PR) - International Relations - English - Travel - Writing","https://wuzzuf.net/jobs/p/EbmZYwFDaMxf-International-Relations-Specialist-Exco-Egypt-Cairo-Egypt"
"Linux System Administrator","Confidential","Giza, Egypt","1 month ago","Full Time","On-site","Experienced","1 - 4 Yrs of Exp","IT/Software Development - Linux - Network - System Administration","https://wuzzuf.net/jobs/p/7GgvKHndPyXg-Linux-System-Administrator-Giza-Egypt"
"Sales Representative (Chemical )","Luna Pac","Giza, Egypt","1 month ago","Full Time","On-site","Entry Level","2 - 5 Yrs of Exp","Customer Service/Support - Marketing/PR/Advertising - Sales/Retail - Chemistry - Sales - Negotiation - Sales Target - sales skills","https://wuzzuf.net/jobs/p/lkiFaZoanOYD-Sales-Representative-Chemical-Luna-Pac-Giza-Egypt"
"Network Engineer","K Line Europe","Cairo, Egypt","2 months ago","Full Time","Hybrid","Experienced","3 - 5 Yrs of Exp","Engineering - Telecom/Technology - Network Engineering - Cisco CCNP - Juniper - Palo Alto - Networking - SDN","https://wuzzuf.net/jobs/p/fzyU8iDdL2jc-Network-Engineer-K-Line-Europe-Cairo-Egypt"
"QEHS Supervisor","Confidential","Giza, Egypt","2 months ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","Operations/Management - Quality - Engineering - Other - Health, Safety and Environment - Quality Assurance - Safety - Quality Auditing - EHS Management","https://wuzzuf.net/jobs/p/jjfUuR60qzyy-QEHS-Supervisor-Giza-Egypt"
"PHP Backend developer (Web Crawler Plugin Developer)","Webbingstone","6th of October, Giza, Egypt","2 months ago","Full Time","Remote","Experienced","3 - 5 Yrs of Exp","IT/Software Development - PHP - Software Engineering - HTML - XML - JSON - Information Technology (IT) - Front-End Development - CSS - JavaScript","https://wuzzuf.net/jobs/p/Nk0OnM9Sih5f-PHP-Backend-developer-Web-Crawler-Plugin-Developer-Webbingstone-Giza-Egypt"
